PRICE,BEDROOMS,BATHROOMS,FLOORS,INSTALLMENT_YEARS,HAS_INSTALLMENT,REAL_ESTATE_COMPANY,SIZE(SQM),AMENITIES_نادي صحي مشترك,AMENITIES_حارس أمن,AMENITIES_صالة رياضة مشتركة,AMENITIES_حديقة خاصة,AMENITIES_موقف مغطى,AMENITIES_غرفة خادمة,AMENITIES_مسبح خاص,AMENITIES_مطل على بحيرات,AMENITIES_COUNT,LATITUDE,LONGITUDE,PROPERTY_TYPE
16700000.0,5,5,-1.0,0.0,0,سراي,239,1,1,1,1,0,0,0,1,11,30.09417724609375,31.70400047302246,فيلا
4400000.0,2,3,0.0,0.0,0,سراي,128,0,1,0,0,0,1,0,0,6,30.09417724609375,31.70400047302246,شقة
4200000.0,2,2,0.0,0.0,0,لافينير,120,1,1,1,1,1,0,0,1,10,30.054826736450195,31.618816375732425,شقة
14794189.0,4,5,-1.0,0.0,0,سراي,206,1,1,1,0,0,0,0,0,9,30.09417724609375,31.70400047302246,تاون هاوس
4612500.0,3,3,4.0,0.0,0,سراي,164,0,1,0,1,1,1,0,0,10,30.09417724609375,31.70400047302246,شقة
4221297.0,2,2,2.0,0.0,0,سراي,112,0,1,0,1,1,1,0,0,10,30.09417724609375,31.70400047302246,شقة
4195000.0,2,2,3.0,0.0,0,سراي,120,1,1,1,0,1,0,0,0,7,30.09417724609375,31.70400047302246,شقة
27200000.0,4,3,-1.0,5.0,1,ذا فاليز,300,0,1,0,0,1,1,0,0,6,30.04700469970703,31.655561447143555,فيلا
12358000.0,2,2,2.0,0.0,0,أليفا,120,0,1,1,0,1,0,0,0,5,30.057632446289062,31.67757797241211,شقة
14287239.0,3,3,-1.0,0.0,0,أليفا,250,0,1,0,1,0,0,0,0,3,30.057632446289062,31.67757797241211,دوبلكس
26000000.0,4,4,-1.0,5.0,1,ذا فاليز,260,0,1,1,0,1,0,0,1,8,30.04700469970703,31.655561447143555,فيلا
11938670.0,3,2,-1.0,0.0,0,أليفا,210,0,1,1,1,1,1,0,0,9,30.057632446289062,31.67757797241211,دوبلكس
19582081.0,3,3,-1.0,0.0,0,هاب تاون,195,0,1,0,1,1,1,0,0,9,30.051855087280277,31.6932315826416,تاون هاوس
17321882.0,4,3,-1.0,0.0,0,ماونتن فيو مدينة المستقبل,210,0,1,0,1,0,0,0,0,3,30.050914764404297,31.673290252685547,تاون هاوس
8150000.0,4,3,-1.0,0.0,0,سراي,212,1,1,1,1,1,1,1,1,18,30.09417724609375,31.70400047302246,فيلا
6500000.0,3,2,0.0,0.0,0,سراي,166,1,1,0,0,0,0,0,0,5,30.09417724609375,31.70400047302246,شقة
5000000.0,2,2,2.0,0.0,0,سراي,120,1,1,1,0,1,0,0,0,7,30.09417724609375,31.70400047302246,شقة
19927018.0,3,2,-1.0,0.0,0,ماونتن فيو مدينة المستقبل,277,0,1,0,1,0,0,0,0,3,30.050914764404297,31.673290252685547,تاون هاوس
5000003.0,3,4,-1.0,12.0,1,لافينير,175,1,1,1,1,1,1,0,1,12,30.054826736450195,31.618816375732425,فيلا
4100000.0,4,3,-1.0,0.0,0,نيوبوليس - وادي دجلة,280,1,1,1,1,1,1,0,1,16,30.06814956665039,31.62821388244629,دوبلكس
5000002.0,3,4,-1.0,12.0,1,مونتي نابوليوني,175,1,1,1,1,1,1,0,1,13,30.048423767089844,31.630369186401367,فيلا
15400000.0,3,3,-1.0,8.0,1,الفراشه,215,1,1,1,1,0,0,0,0,5,30.07651710510254,31.683374404907227,فيلا
8450000.0,3,2,-1.0,8.0,1,سراي,160,1,1,1,1,1,1,0,1,14,30.09417724609375,31.70400047302246,تاون هاوس
